entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,x1,x2
0.9169567260822411,0.7414827399312736,3.9853226178602648,0.015183823910909588,0.9221168261856818,0.0035132060454386924,20.0,1.0,0.6303324270823009,-1.5486120305057995
0.9295231861792265,0.7999936823666834,4.280082496874274,0.023623271467803658,0.9001437983394649,0.004968208281911023,27.0,0.0,0.2438031578145291,1.5320650250173145
0.9401647521318283,0.7179100158694782,3.149783306358027,0.03271216173029241,0.8786098336382633,0.009124826751663921,12.0,1.0,0.3478112451892571,-0.6381726267629755
0.9331717984240897,0.7239235920856688,2.8152618648187704,0.02467871152772969,0.8881162373046145,0.007785266691325767,9.0,0.0,-0.3256066634452185,-0.2636251961497772
0.9267197214533212,0.7376423801856891,3.1535792653962536,0.02721738225893056,0.8796686896339571,0.007592096780218881,12.0,1.0,1.187490807975783,-0.3147366512105898
0.9248187049730301,0.7376423801856891,3.645833560296135,0.02665772525355392,0.9114583900740337,0.00666443131338848,16.0,0.0,0.435448916519302,0.2089115948361719
0.9076140601356765,0.7762640017033955,3.5290451397785687,0.016591579161174427,0.8822612849446422,0.004147894790293607,16.0,1.0,0.6554634820861849,0.0647330793004341
0.9349579708037453,0.7583373241205442,3.952554885819313,0.017287821318095954,0.9145350868967483,0.004000025206006228,20.0,1.0,1.1783640104779602,-0.4968932581706353
0.9276606087330418,0.7619892744665404,3.8095577188343177,0.018618621740551386,0.8814486579128527,0.004307943429826234,20.0,1.0,-1.044552155431792,-0.1699672394547469
0.9349579708037453,0.7509319796338464,3.5702422650161028,0.027274337560139555,0.8925605662540257,0.006818584390034889,16.0,1.0,1.640209170006866,0.4604981302306726
0.9467554496831931,0.7601675029619656,4.262964860259519,0.023686380853063703,0.8965437895891071,0.004981480811541074,27.0,1.0,0.0701039214544554,0.5466629174230484
0.8999784480561684,0.7509319796338464,4.362927330779532,0.03599967713834331,0.8806528965419276,0.007266501947625096,31.0,0.0,0.0239067848242748,-0.0043497313084348
0.9097361225311662,0.7674044165839726,3.597473717228474,0.026503768555053913,0.8993684293071185,0.006625942138763478,16.0,1.0,-1.167268115180457,0.4825299318463703
0.9401647521318283,0.7762640017033955,4.329766986427975,0.035318526422983394,0.9105929392562782,0.007427836390853297,27.0,1.0,0.6303324270823009,-1.5486120305057995
0.9358415530325216,0.7219280948873623,2.7356976839254754,0.01747117110227185,0.8630165327825537,0.005511540839080573,9.0,1.0,-0.4983085420033858,0.586997354650258
0.9393127137322361,0.7471781328795917,3.9249355624716484,0.03428959114055785,0.9081445772118844,0.007933864328080983,20.0,1.0,0.5961564495884004,1.8830145737286712
0.9349579708037453,0.7376423801856891,5.209110718322581,0.030008701035163402,0.9229701365814751,0.0053170562867161375,50.0,1.0,0.4399767038124488,-1.2981505400699724
0.9076140601356765,0.7471781328795917,3.843454551106386,0.028969004752165038,0.8892916463957399,0.006702796556572516,20.0,1.0,-0.4472598812659267,-1.143774553561736
0.9107872838661832,0.7564987103663676,3.8284810905043907,0.01395136769850857,0.8858271138368321,0.0032280425292156864,20.0,1.0,-0.8191841674885328,-1.7187645579153414
0.9043814577244939,0.7546516338427501,2.6834220631032695,0.01731485533082871,0.846525410500979,0.005462228703502588,9.0,1.0,0.3615016047750177,1.3062985606057322
0.8943244161582129,0.7727448592131423,4.191236033012726,0.028818780946390194,0.9141265675244885,0.00628549981419856,24.0,1.0,-1.484754126626444,-1.194936325618729
0.9219189385491551,0.7433898602242521,4.196635328742097,0.02862978539656825,0.9153041770967636,0.0062442790736162304,24.0,1.0,0.5679966915636899,1.0701950696652736
0.9189610585062931,0.7278876700230902,3.858446872574187,0.021247281309391547,0.8927605429480764,0.00491615798386978,20.0,1.0,0.5950494666631286,0.7952837777716156
0.9209394481940656,0.7509319796338464,3.1976624098699036,0.02328155787546712,0.8919653718070016,0.006494226333130069,12.0,1.0,-1.3038477412088594,0.5557216957389057
0.9313602262676112,0.7298563169471575,3.468466172811978,0.024739940446376778,0.8671165432029945,0.0061849851115941944,16.0,1.0,0.0505801318941106,-0.2219605047779572
0.9219189385491551,0.7999936823666834,2.7222099441927283,0.022632040562406648,0.8587616246296446,0.007139613887429231,9.0,1.0,-0.0806954109881295,-0.2532526365760155
0.9076140601356765,0.7727448592131423,3.7676391967136973,0.020317339375798656,0.8717496251662856,0.004700989680932712,20.0,1.0,0.2637454902318888,-0.4901654344825736
0.9128699190400288,0.7709729679004811,3.173593611501775,0.029017105318887296,0.8852515502919125,0.008094116831919483,12.0,1.0,0.1935153757538829,-0.8763148983801381
0.9021932572871765,0.7674044165839726,3.1379892002112078,0.02415287980194929,0.8753199509283476,0.006737275437913416,12.0,0.0,0.2081164055347524,-0.6032501360716559
0.9358415530325216,0.7056366064601749,3.8955371234428533,0.0222656944561594,0.9013424189197158,0.0051517965980273014,20.0,0.0,0.0735986292873764,-0.7841014920445216
0.8988610370442902,0.7509319796338464,3.467564693839892,0.01807824967982438,0.866891173459973,0.004519562419956095,16.0,1.0,0.226040981371386,-0.9478367133481618
0.9459534760689117,0.7056366064601749,4.531473067901186,0.022259978638143798,0.9146736996272402,0.00449315635544636,31.0,1.0,1.7893217075909715,2.4884796564895084
0.9139014134928695,0.7546516338427501,3.481495841056978,0.03682069159037251,0.8703739602642445,0.009205172897593128,16.0,1.0,1.2197207063560749,-1.1606814724294956
0.9179621399872384,0.7278876700230902,2.760024101232958,0.015400857481597264,0.8706906630210967,0.004858429607826651,9.0,1.0,0.2011319121022027,1.7821281750554587
0.8837219614915761,0.7546516338427501,3.8518740792806616,0.03207559441784643,0.8912397417803521,0.007421593722438455,20.0,1.0,-0.9232172375677596,-1.3498265543840091
0.9238585576022822,0.7745085286615678,3.263923789270455,0.03013408443662408,0.9104485161598983,0.008405690277251798,12.0,1.0,-0.8914569293034865,1.7697962682242234
0.9276606087330418,0.7278876700230902,4.054766625253244,0.021312745530066866,0.8843620039674217,0.004648401274103026,24.0,1.0,-0.0525800486455129,-0.3233425212584272
0.9159448069797607,0.7337669895308355,3.2564027202771797,0.03333078993586563,0.9083505670204687,0.0092973887255894,12.0,1.0,0.3045511724247615,0.5612655887874328
0.9010891843657631,0.731816079376955,3.190385947061545,0.0166350220919366,0.8899356538373169,0.004640222063296413,12.0,0.0,-1.423208602164711,0.6498777196042642
0.9179621399872384,0.7780113035465376,4.152009184881041,0.027662015249871483,0.9055710235859034,0.0060332042509662065,24.0,1.0,-1.086607021418592,1.2894416637672246
0.9238585576022822,0.7601675029619656,3.0332231762415995,0.029415264388129036,0.8460962075981081,0.008205180495531482,12.0,1.0,-0.8007876929859593,0.1095947146492234
0.9065431379027393,0.7337669895308355,4.263733461789672,0.020210606520849963,0.929938567898656,0.004408020025828153,24.0,1.0,-0.2113770617794276,-0.9223894069682952
0.9276606087330418,0.7471781328795917,3.206699887233998,0.03274597090527846,0.8944863123641973,0.009134257582524579,12.0,1.0,-0.7266451348949167,-0.2133265635586821
0.8954686411420223,0.7179100158694782,3.0210163089379956,0.030010439614836026,0.8426911880752682,0.00837120042644772,12.0,1.0,0.4327976097504686,0.8317312159052721
0.9228919718923306,0.7357090792864718,3.919760847794567,0.02133746237245985,0.9069472609762895,0.004937023917103348,20.0,1.0,-0.142383397087277,-0.9116593844579955
0.9149263727797275,0.7546516338427501,2.857753936742086,0.025584088170047568,0.9015209935382733,0.008070881222239276,9.0,0.0,0.6422214226293639,-0.5382888953889957
0.9107872838661832,0.7527960664084545,3.475518673534038,0.031152805888706985,0.8688796683835095,0.007788201472176746,16.0,1.0,-1.1199439806625406,-0.1800744502601196
0.9285950940151022,0.7814814932386424,4.296456476297992,0.02712617568919545,0.9035874086070617,0.00570490378097339,27.0,1.0,0.2154944296097651,0.1974238511358862
0.9295231861792265,0.7546516338427501,4.543458788311655,0.023494545816337153,0.9170930063441217,0.004742352612688951,31.0,0.0,-0.8194948986738485,2.363364207594027
0.9418499821369986,0.731816079376955,3.5476798014143123,0.024713417949703526,0.8869199503535781,0.006178354487425881,16.0,0.0,-0.1799905073962712,1.9386362358423552
0.9276606087330418,0.7601675029619656,3.2647560502583226,0.02145904050582635,0.9106806694914047,0.0059858479695421175,12.0,1.0,0.7122236957538346,0.7835531321573372
0.8885020591088224,0.7832044302828898,4.545712080318827,0.02527694201750786,0.9175478312775723,0.005102127657822662,31.0,1.0,1.0142266888419569,-1.7237049019816493
0.9139014134928695,0.7619892744665404,4.548761516073499,0.031245840359854452,0.886822096001786,0.006091658474806621,35.0,1.0,-0.0371175485055297,0.2513381967643697
0.9159448069797607,0.731816079376955,4.519325523957188,0.03009568404389863,0.9122217289779282,0.0060747863343244115,31.0,1.0,-0.4793485249125375,0.8196000621506255
0.9159448069797607,0.7509319796338464,4.064806647797274,0.03147261530289713,0.8865517759759067,0.006864312477571386,24.0,0.0,0.8755565445993193,-0.1778494936265616
0.9032906780348733,0.731816079376955,4.4397669406917295,0.025313391495005527,0.8961629016160296,0.0051094849515619595,31.0,1.0,-1.4772167370475813,0.8904447887314091
0.9285950940151022,0.7490593447969769,3.891390196375661,0.024754565848359666,0.9003829103448047,0.005727667213539053,20.0,1.0,2.383101642381717,-0.2899351896747356
0.9065431379027393,0.7727448592131423,3.541572858190931,0.0436181194030909,0.8853932145477328,0.010904529850772724,16.0,1.0,-0.4225217337181048,-1.932357470778236
0.8908512966034441,0.7564987103663676,4.067896623199066,0.03768655731893318,0.8872257128731669,0.008219599901418085,24.0,1.0,-1.5987468634329378,0.0652602842906453
0.9118318792514706,0.7797504591523331,3.0719768237784453,0.024814910115361816,0.8569062641967614,0.006921944123647046,12.0,0.0,-0.8215296820305332,-0.2474723761586123
0.8999784480561684,0.7883249003933805,2.8094435211625437,0.03493038624313271,0.8862807542400057,0.011019309992267757,9.0,1.0,-0.5150280197491415,-0.8174568893384113
0.9179621399872384,0.8032566997760642,3.2487700882385213,0.025216355703965798,0.906221498156534,0.007033924538650896,12.0,1.0,-0.6388335822103705,-0.1252770945276939
0.9304448940240344,0.7797504591523331,3.227137862520336,0.019477590010967678,0.9001873413937135,0.005433136331844349,12.0,1.0,0.1047613585915954,0.8395183174466986
0.9219189385491551,0.7780113035465376,4.0307807370331945,0.029767763839337748,0.8791305787995439,0.006492477056171268,24.0,1.0,-0.2830725523069525,1.1771497495405696
0.8988610370442902,0.7509319796338464,3.5997257902234123,0.028936382887489703,0.8999314475558531,0.007234095721872426,16.0,1.0,0.1379597377576812,0.339944575613189
0.9107872838661832,0.7414827399312736,3.2017355961380054,0.038886675744415816,0.8931015583828115,0.010847163878727676,12.0,0.0,0.467064652120386,0.6285476964616754
0.9521953766259575,0.7490593447969769,2.817015996839299,0.017864171556443445,0.8886696043463364,0.005635518678932548,9.0,1.0,1.215301692661151,1.0044387230626597
0.9418499821369986,0.7797504591523331,2.7623297130168694,0.021887132081026644,0.8714180025584242,0.00690462142513405,9.0,1.0,0.3285021966509558,0.4830108052732483
